Director,Archetype_1,Archetype_2
Christopher Nolan,Myth Makers,Emotional Viewers
David Fincher,Emotional Viewers,Myth Makers
Denis Villeneuve,Reality Explorers,Thrill Seekers
Bong Joon-ho,Myth Makers,Meaning Seekers
Wong Kar-wai,Spectacle Fans,Meaning Seekers
Andrei Tarkovsky,Emotional Viewers,Spectacle Fans
Ingmar Bergman,Myth Makers,Emotional Viewers
Abbas Kiarostami,World Builders,Emotional Viewers
Terrence Malick,Reality Explorers,World Builders
Robert Bresson,Myth Makers,Character Explorers
Stanley Kubrick,Myth Makers,Story Lovers
Paul Thomas Anderson,Comedy Lovers,Thrill Seekers
Martin Scorsese,Emotional Viewers,Animation Admirers
Quentin Tarantino,Myth Makers,Comedy Lovers
Steven Spielberg,Visual Stylists,Meaning Seekers
James Cameron,Spectacle Fans,Animation Admirers
George Miller,Spectacle Fans,Visual Stylists
Michael Bay,Spectacle Fans,Myth Makers
Zack Snyder,Spectacle Fans,Character Explorers
Ridley Scott,Myth Makers,Thrill Seekers
Peter Jackson,Meaning Seekers,Emotional Viewers
Guillermo del Toro,Reality Explorers,Comedy Lovers
Tim Burton,World Builders,Myth Makers
Hayao Miyazaki,Comedy Lovers,Meaning Seekers
Satoshi Kon,Thrill Seekers,Character Explorers
Makoto Shinkai,Story Lovers,Character Explorers
Mamoru Hosoda,Animation Admirers,Reality Explorers
Brad Bird,Animation Admirers,World Builders
Pete Docter,Animation Admirers,Myth Makers
Lee Unkrich,World Builders,Visual Stylists
Edgar Wright,Myth Makers,Emotional Viewers
Taika Waititi,Comedy Lovers,Character Explorers
Judd Apatow,Reality Explorers,Animation Admirers
Adam McKay,World Builders,Animation Admirers
Jordan Peele,World Builders,Meaning Seekers
Ari Aster,Character Explorers,Meaning Seekers
Robert Eggers,Spectacle Fans,Reality Explorers
John Carpenter,Comedy Lovers,Meaning Seekers
Alfred Hitchcock,Story Lovers,Thrill Seekers
Brian De Palma,Animation Admirers,Meaning Seekers
Spike Lee,Meaning Seekers,Emotional Viewers
Ken Loach,Thrill Seekers,Reality Explorers
Asghar Farhadi,Animation Admirers,Spectacle Fans
Jafar Panahi,Emotional Viewers,Thrill Seekers
Celine Sciamma,Character Explorers,Reality Explorers
Noah Baumbach,Emotional Viewers,Animation Admirers
Greta Gerwig,Story Lovers,Myth Makers
Sofia Coppola,Animation Admirers,World Builders
Luca Guadagnino,World Builders,Comedy Lovers
Gaspar Noe,Emotional Viewers,Comedy Lovers
Nicolas Winding Refn,Character Explorers,Story Lovers
Park Chan-wook,Thrill Seekers,Meaning Seekers
Kim Ki-duk,Meaning Seekers,Comedy Lovers
Takeshi Kitano,Story Lovers,Emotional Viewers
Hirokazu Kore-eda,World Builders,Story Lovers
Edward Yang,Story Lovers,Visual Stylists
Hou Hsiao-hsien,Comedy Lovers,World Builders
Tsai Ming-liang,Reality Explorers,Emotional Viewers
Apichatpong Weerasethakul,Reality Explorers,Thrill Seekers
Claire Denis,Story Lovers,Comedy Lovers
Mike Leigh,Meaning Seekers,World Builders
Lars von Trier,Comedy Lovers,Reality Explorers
Yorgos Lanthimos,Comedy Lovers,Character Explorers
Kogonada,Myth Makers,Spectacle Fans
Chloe Zhao,Reality Explorers,Thrill Seekers
Sean Baker,Comedy Lovers,Myth Makers
Kelly Reichardt,Character Explorers,Visual Stylists
Debra Granik,Myth Makers,Visual Stylists
Barry Jenkins,Reality Explorers,Animation Admirers
Steve McQueen,Comedy Lovers,World Builders
Alejandro Gonzalez Inarritu,Visual Stylists,Story Lovers
Alfonso Cuaron,World Builders,Myth Makers
Pedro Almodovar,Animation Admirers,Visual Stylists
Jean-Luc Godard,Character Explorers,Myth Makers
Francois Truffaut,Comedy Lovers,Animation Admirers
